,GeneStableID,GeneName,GeneDescription,baseMean,log2FC,padj,neglogpadj
0,ENSGALG00000036638,TACR1,tachykinin receptor 1 [Source:NCBI gene;Acc:395677],168.308397973669,-2.65480609453028,1.2790805143651599e-18,17.89310211709762
234,ENSGALG00000033695,CYP26A1,cytochrome P450 family 26 subfamily A member 1 [Source:NCBI gene;Acc:408183],775.149907429492,-3.15353283527501,5.97380393431132e-17,16.223749035438622
387,ENSGALG00000030251,ADCY8,adenylate cyclase 8 [Source:NCBI gene;Acc:420328],316.64646725551,2.4917599171287,8.76279993871623e-13,12.057357103461804
1179,ENSGALG00000011205,SMOC2,SPARC related modular calcium binding 2 [Source:NCBI gene;Acc:421559],51.8028295449117,4.34545285608811,1.13120700778439e-11,10.946457913101044
1579,ENSGALG00000040493,PTN,pleiotrophin [Source:NCBI gene;Acc:418125],8449.89373295831,2.08863351381401,6.956791332688959e-11,10.157591023007283
3249,ENSGALG00000043213,CYP26C1,cytochrome P450 family 26 subfamily C member 1 [Source:NCBI gene;Acc:423806],110.374630717645,-2.34610415085679,4.91569081744506e-09,8.308415440777491
3477,ENSGALG00000015075,B3GAT1L,"beta-1,3-glucuronyltransferase 1-like [Source:NCBI gene;Acc:408180]",1182.74780761909,1.45462831917232,1.33566529143175e-08,7.8743023594473645
3585,ENSGALG00000008732,CTAGE1,cutaneous T-cell lymphoma-associated antigen 1 [Source:NCBI gene;Acc:395484],122.969476324827,4.11757790484842,1.33566529143175e-08,7.8743023594473645
3600,ENSGALG00000026862,CLDN1,claudin 1 [Source:NCBI gene;Acc:424910],21162.7046387014,-1.79894057572825,6.28654320882653e-08,7.2015880950964855
4025,ENSGALG00000005572,NOXO1,NADPH oxidase organizer 1 [Source:NCBI gene;Acc:416546],480.561075103626,-2.22364235142808,1.11516827059786e-07,6.95265959586398
4073,ENSGALG00000001299,GIP,gastric inhibitory polypeptide [Source:NCBI gene;Acc:419989],552.561113766818,1.93764032937728,1.82274598398033e-07,6.739273849963886
4139,ENSGALG00000010078,GLP1R,glucagon like peptide 1 receptor [Source:NCBI gene;Acc:428573],539.039973869611,-1.35078254630245,1.85218871395304e-07,6.732314766437495
4349,ENSGALG00000006751,THY1,Thy-1 cell surface antigen [Source:NCBI gene;Acc:378897],363.327884931697,-1.64269423360198,2.76384004670373e-07,6.558487094743585
5403,ENSGALG00000011592,MRAS,muscle RAS oncogene homolog [Source:NCBI gene;Acc:395149],816.796787438443,-1.49558078326397,3.19037112818769e-07,6.496158793573273
5473,ENSGALG00000004448,BRINP2,BMP/retinoic acid inducible neural specific 2 [Source:NCBI gene;Acc:424433],282.150971683714,-2.25471907916289,3.79633942474857e-07,6.420634964920913
